,Unnamed: 0,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,ingresos_totales
Unnamed: 0,1.0,0.00299063554985587,0.004786476539067408,0.00279427061810356,-0.0024903679520998133,0.0007393199692779423,0.0019130831404352686,0.005073099191539669,-0.002162201207274304,0.001002111477188747,4.350604282870116e-05,0.0013633798210268215,0.0008130376381413032,0.004051721511001177,-0.0005262793049418231,-0.004321458092089231,-0.00013406779023391477,-0.0011168587045290279,-4.468186618104508e-05,-4.5134613156876806e-05,0.005716312820201254
id,0.00299063554985587,1.0,0.022857021573539624,0.09554425581600522,-0.021275922952987688,-0.0021099173801383663,0.014163383190761838,-0.0006056970441636092,0.0010633030015241482,0.05547685539141446,0.05290289155246943,0.0023004040533988208,0.05524079289384669,0.04463401490717983,0.07494044561876183,0.07927294313202554,0.07934638614612181,0.02496523331241549,-0.019545572829647574,-0.03725411854978544,0.09145804236048755
Age,0.004786476539067408,0.022857021573539624,1.0,0.09946084164551727,0.017859320920329914,0.03812515171929467,0.024842002786248218,-0.0013296572943330828,0.023000477347269704,0.20893929603072442,0.16027673775070714,0.07644448708282595,0.05759447459675862,0.04058276402553854,-0.04752930821529978,0.03548237585218939,-0.04942722005194537,0.05361055072612423,-0.010152230154219963,-0.012146863576691471,0.4165430935864761
Flight Distance,0.00279427061810356,0.09554425581600522,0.09946084164551727,1.0,0.007131199035059713,-0.02004291647457157,0.06571656593297781,0.004793232484294276,0.05699353130657888,0.21486909340494043,0.1573325222406098,0.1287403252282247,0.1095264209414938,0.1339156015833073,0.06318413011189958,0.07307176819697524,0.05753979518896882,0.0931485974847914,0.0021580114615675997,-0.002425811329034678,0.9020770591508035
Inflight wifi service,-0.0024903679520998133,-0.021275922952987688,0.017859320920329914,0.007131199035059713,1.0,0.34384450591707294,0.715856141267444,0.33624844579294455,0.13471759280671244,0.4569702391680647,0.12265781640105258,0.20932121443521967,0.12149991931551724,0.16047268504590884,0.12092333472744815,0.04319261838355081,0.1104413916513954,0.1326979160936807,-0.017402211431094407,-0.01909505922298653,0.008827734880898294
Departure/Arrival time convenient,0.0007393199692779423,-0.0021099173801383663,0.03812515171929467,-0.02004291647457157,0.34384450591707294,1.0,0.43696115424654514,0.4447571390334804,0.004906371119114535,0.0701187122913004,0.011344159718724859,-0.004861423623927252,0.06888232743982475,0.012441284477964762,0.07212561381399696,0.09333300968368619,0.07331752705146462,0.014292462071912058,0.0010051315647691824,-0.0008641870815691198,-0.012120324103259843
Ease of Online booking,0.0019130831404352686,0.014163383190761838,0.024842002786248218,0.06571656593297781,0.715856141267444,0.43696115424654514,1.0,0.4586554660895563,0.03187335016636239,0.4040742121779608,0.030014105353144353,0.04703228639950369,0.038832948505811975,0.10760138298948618,0.03876236641859236,0.011080760862057297,0.03527240013018899,0.01617852505330637,-0.006370606109393338,-0.007983622992803925,0.06130443426381097
Gate location,0.005073099191539669,-0.0006056970441636092,-0.0013296572943330828,0.004793232484294276,0.33624844579294455,0.4447571390334804,0.4586554660895563,1.0,-0.0011586047174040018,0.0016880222100853935,0.0036687785040983756,0.0035167267698150437,-0.028373042456368854,-0.005873445111654661,0.002313445343460521,-0.03542748282779974,0.0016807280588402593,-0.00382994156308241,0.005467106350314138,0.005142878882656845,0.00364401806833652
Food and drink,-0.002162201207274304,0.0010633030015241482,0.023000477347269704,0.05699353130657888,0.13471759280671244,0.004906371119114535,0.03187335016636239,-0.0011586047174040018,1.0,0.23446825550361097,0.5745564522785715,0.6225120323639995,0.05907311712825321,0.032497632590447356,0.0347461446781211,0.08729900659010346,0.03399281356069491,0.6577597343070511,-0.029926215501083455,-0.03252422693448599,0.053682191766124245
Online boarding,0.001002111477188747,0.05547685539141446,0.20893929603072442,0.21486909340494043,0.4569702391680647,0.0701187122913004,0.4040742121779608,0.0016880222100853935,0.23446825550361097,1.0,0.4202107259656956,0.28506619616942147,0.15544289374143452,0.123950369269077,0.08328016469488611,0.20446156302376026,0.07457286303061139,0.33151713506558106,-0.018982416393159743,-0.021948617471543922,0.2509629662640031
